Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2008,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,296,C,110,C,5123
Kittiwake,1991,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,268,C,161,C,5107
Kittiwake,1998,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,234,C,56,C,5113
Kittiwake,2016,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Camel's Back,NK13184185,NK04222857,,1.1,AON,53,C,59,C,
Kittiwake,2010,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Camel's Back,NK13184185,NK04222857,,1.1,AON,41,C,0,C,
Kittiwake,2019,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,Bay N of Pot,NK13184185,NK04222857,,1.1,AON,120,C,148,C,
Kittiwake,2019,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,SW Pot,NK13184185,NK04222857,,1.1,AON,72,C,95,C,
Kittiwake,2016,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,W Pot,NK13184185,NK04222857,,1.1,AON,74,C,68,C,
Kittiwake,2019,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,W Pot,NK13184185,NK04222857,,1.1,AON,83,C,82,C,
Kittiwake,1997,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,284,C,48,C,5112
Kittiwake,1994,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,ALL,NK13184185,NK04222857,,other,AON,270,C,132,C,5109
Kittiwake,2009,Scotland,Banff and Buchan,100776,Buchan Ness to Collieston,Buchan Ness to Collieston Coast SPA,W Pot,NK13184185,NK04222857,,other,AON,80,C,102,C,5124
