Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,1996,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,45,C,55,C,2356
Kittiwake,1993,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,21,C,27,C,2353
Kittiwake,2009,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,45,C,2369
Kittiwake,1998,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,44,C,25,C,2358
Kittiwake,2014,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,38,C,
Kittiwake,1994,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,631,C,555,C,2453
Kittiwake,1996,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,668,C,855,C,2455
Kittiwake,1999,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,704,C,577,C,2458
Kittiwake,2005,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,590,C,372,C,2464
Kittiwake,2000,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,80,C,88,C,2360
Kittiwake,2008,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,other,AON,616,C,202,C,2467
Kittiwake,2015,England,Northumberland,89250,Farne Islands,Farne Islands SPA,ALL,NU23793786,,,1.1,AON,723,C,545,C,
Kittiwake,2007,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,ALL,NU29230462,,,other,AON,30,C,29,C,2367
