Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2002,31/12/2002,,,AON,,,,,5055,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2003,31/12/2003,,,AON,,,,,5192,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2004,31/12/2004,,,AON,,,,,5151,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2005,31/12/2005,,,AON,,,,,5376,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/01/2010,31/12/2010,,1.2,AON,,,,,4768,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2007,31/12/2007,,1.2,AON,,,,,157,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2011,31/12/2011,,,AON,,,,,193,C,,
Kittiwake,England,Northumberland,88850,Coquet Island RSPB,Coquet Island SPA,NU29230462,,01/01/2012,28/11/2012,,,AON,,,,,215,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2016,18/06/2016,,1.2,AON,,,,,3527,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2015,18/06/2015,,1.2,AON,,,,,3956,C,,
Kittiwake,England,Northumberland,83973,Cullernose Point,Howick - Cullornose Point - Dunstanburgh Castle Point,NU25961869,NU26111873,01/01/1990,31/12/1990,,,AON,,,,,408,C,,
Kittiwake,England,Northumberland,83973,Cullernose Point,Howick - Cullornose Point - Dunstanburgh Castle Point,NU25961869,NU26111873,01/01/1992,31/12/1992,,,AON,,,,,588,C,,
Kittiwake,England,Northumberland,83975,Dunstanburgh Castle,Howick - Cullornose Point - Dunstanburgh Castle Point,NU25822184,NU25782207,01/01/1990,31/12/1990,,,AON,,,,,612,C,,
Kittiwake,England,Northumberland,83975,Dunstanburgh Castle,Howick - Cullornose Point - Dunstanburgh Castle Point,NU25822184,NU25782207,01/01/1992,31/12/1992,,,AON,,,,,564,C,,
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,1420,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,18,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,92,C,,"No methods, dates or times provided."
Kittiwake,England,Northumberland,89250,Farne Islands,Farne Islands SPA,NU23793786,,01/06/2006,30/06/2006,,1.2,AON,,,,,96,C,,"No methods, dates or times provided."
