Species,Country,County,Site ID,Site,Master site,StartGrid,EndGrid,Start date,End date,Times,Method,Unit,Wind,Rain,Visibility,Sea,Count,Accuracy,Estimate type,Comments
Kittiwake,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,TA231691,TA155754,03/06/1987,30/06/1987,,1.2,AON,,,,,85395,C,,
Kittiwake,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,TA231691,TA155754,01/01/2008,31/12/2008,,,AON,,,,,37617,C,,
Kittiwake,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,TA231691,TA155754,26/05/2000,16/06/2000,,,AON,,,,,42582,C,,
Kittiwake,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,TA231691,TA155754,18/05/2017,14/06/2017,,1.1,AON,,,,,45504,C,,"Keith Clarkson, David Aitken, Michael Babcock et al"
Kittiwake,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,TA231691,TA155754,22/05/2016,21/06/2016,,1.1,AON,,,,,45563,C,,"Keith Clarkson, Michael Babcock and David Aitken"
